,peak_time,amplitude,inter_event_interval,condition
329,39.2139,-63.92622916067947,0.08489999999999753,pre_drug
330,39.2988,-55.37055937200236,0.07039999999999935,pre_drug
331,39.3692,-46.11107402056532,0.25430000000000064,pre_drug
332,39.6235,-42.03818058335933,0.030799999999999272,pre_drug
333,39.6543,-20.140736339010793,0.08480000000000132,pre_drug
334,39.7391,-90.45041407908607,0.03059999999999974,pre_drug
335,39.7697,-36.54224755708006,0.0700999999999965,pre_drug
336,39.8398,-69.89844349385055,0.04570000000000363,pre_drug
337,39.8855,-34.76330635798381,0.18390000000000128,pre_drug
338,40.0694,-38.35960127204796,0.08630000000000138,pre_drug
339,40.1557,-48.08869669473523,0.0799999999999983,pre_drug
340,40.2357,-88.55876683881817,0.24170000000000158,pre_drug
341,40.4774,-61.12870490787422,0.04509999999999792,pre_drug
342,40.5225,-20.808174040587314,0.12229999999999563,pre_drug
343,40.6448,-28.168613894811276,0.11190000000000566,pre_drug
344,40.7567,-66.7432025551183,0.11009999999999565,pre_drug
345,40.8668,-56.3134339700771,0.2272000000000034,pre_drug
346,41.094,-33.311386204910846,0.06510000000000105,pre_drug
347,41.1591,-147.2599294610396,0.11749999999999972,pre_drug
348,41.2766,-65.94046434971881,0.1781999999999968,pre_drug
349,41.4548,-102.56283470969046,0.05810000000000315,pre_drug
350,41.5129,-33.243469455993875,0.045999999999999375,pre_drug
351,41.5589,-36.11142655410286,0.24109999999999587,pre_drug
352,41.8,-54.19060697058937,0.10670000000000357,pre_drug
353,41.9067,-37.967957455771725,0.08579999999999899,pre_drug
354,41.9925,-34.053268463634296,0.16749999999999687,pre_drug
355,42.16,-20.17726942645358,0.17180000000000462,pre_drug
356,42.3318,-64.85138525671468,0.09969999999999857,pre_drug
357,42.4315,-67.28947536260847,0.09600000000000364,pre_drug
358,42.5275,-48.337475894845376,0.09619999999999607,pre_drug
359,42.6237,-29.928765256037455,0.09709999999999752,pre_drug
360,42.7208,-41.37141932896901,0.120900000000006,pre_drug
361,42.8417,-105.28055074795658,0.10229999999999961,pre_drug
362,42.944,-46.03014657447219,0.12699999999999534,pre_drug
363,43.071,-54.70125628687104,0.35260000000000247,pre_drug
364,43.4236,-76.73529825007512,0.240000000000002,pre_drug
365,43.6636,-57.75841492675643,0.07259999999999422,pre_drug
366,43.7362,-65.16380503461542,0.09240000000000492,pre_drug
367,43.8286,-23.419850723546922,0.034199999999998454,pre_drug
368,43.8628,-25.078657997358484,0.45600000000000307,pre_drug
369,44.3188,-79.64337139428247,0.11189999999999856,pre_drug
370,44.4307,-42.6079008891086,0.18739999999999668,pre_drug
371,44.6181,-34.6215785270693,0.08919999999999817,pre_drug
372,44.7073,-148.35519014728982,0.09090000000000487,pre_drug
373,44.7982,-22.571511407927048,0.42609999999999815,pre_drug
374,45.2243,-65.32680977157418,0.10999999999999943,pre_drug
375,45.3343,-76.45094616452164,0.3247,pre_drug
376,45.659,-56.11316024099515,0.040399999999998215,pre_drug
377,45.6994,-26.559155974966995,0.3077000000000041,pre_drug
378,46.0071,-67.84977045603804,0.22419999999999618,pre_drug
379,46.2313,-22.905671052566916,0.2955000000000041,pre_drug
380,46.5268,-57.97657966698323,0.1465999999999994,pre_drug
381,46.6734,-50.2761218948966,0.12079999999999558,pre_drug
382,46.7942,-89.83398611040565,0.20770000000000266,pre_drug
383,47.0019,-34.54918512841253,0.030900000000002592,pre_drug
384,47.0328,-55.01019306847154,0.10499999999999687,pre_drug
385,47.1378,-84.41301018111088,0.14030000000000342,pre_drug
386,47.2781,-33.13866125896165,0.06589999999999918,pre_drug
387,47.344,-49.690528019671284,0.04099999999999682,pre_drug
388,47.385,-89.57929384175391,0.07670000000000243,pre_drug
389,47.4617,-66.72937372828119,0.033299999999997,pre_drug
390,47.495,-55.48101381757976,0.09890000000000043,pre_drug
391,47.5939,-28.837183105715418,0.1377999999999986,pre_drug
392,47.7317,-59.42015965598597,0.1658000000000044,pre_drug
393,47.8975,-25.521830161686136,0.13510000000000133,pre_drug
394,48.0326,-32.72511047326522,0.047599999999995646,pre_drug
395,48.0802,-52.458118386977084,0.13330000000000553,pre_drug
396,48.2135,-45.65114295950387,0.07859999999999445,pre_drug
397,48.2921,-60.817574056214994,0.06020000000000181,pre_drug
398,48.3523,-65.0908696747185,0.2248999999999981,pre_drug
399,48.5772,-64.50550404287986,0.2033000000000058,pre_drug
400,48.7805,-67.07410244833146,0.04569999999999652,pre_drug
401,48.8262,-21.857002274292782,0.14470000000000027,pre_drug
402,48.9709,-67.22069085605611,0.03190000000000026,pre_drug
403,49.0028,-74.35734764150666,0.08729999999999905,pre_drug
404,49.0901,-56.46129187104881,0.05870000000000175,pre_drug
405,49.1488,-40.67267713696445,0.15569999999999595,pre_drug
406,49.3045,-98.79724884639369,0.09920000000000329,pre_drug
407,49.4037,-42.57683231953122,0.07059999999999889,pre_drug
408,49.4743,-66.54980644385816,0.33489999999999753,pre_drug
409,49.8092,-38.670435821803146,0.1075000000000017,pre_drug
410,49.9167,-70.57346985514769,0.07900000000000063,pre_drug
411,49.9957,-29.91010991597744,0.147199999999998,pre_drug
412,50.1429,-28.077100880451194,0.2589000000000041,pre_drug
413,50.4018,-88.90129242762775,0.07909999999999684,pre_drug
414,50.4809,-42.57040773104589,0.1735000000000042,pre_drug
415,50.6544,-36.54193139760213,0.10379999999999967,pre_drug
416,50.7582,-44.83131489741865,0.2382999999999953,pre_drug
417,50.9965,-25.057237043147687,0.0367999999999995,pre_drug
418,51.0333,-72.44324303684525,0.07840000000000202,pre_drug
419,51.1117,-42.650914902378474,0.033300000000004104,pre_drug
420,51.145,-61.037127102316965,0.08539999999999992,pre_drug
421,51.2304,-98.62049339159512,0.09659999999999513,pre_drug
